 E_dft(Ry)        c        bv       ang
-4642.63536077    328    0.57782     28
-4642.61612058    328    0.59434     32
-4642.59341369    332    0.65032     32
-4642.63404700    320    0.58117     30
-4642.57312147    328    0.64733     34
-4642.53109567    344    0.69033     34
-4642.57616976    332    0.62994     34
-4642.62994466    324    0.58467     32
-4642.56347281    332    0.65597     32
-4642.61616663    328    0.58684     32
-4642.55473291    336    0.68926     33
-4642.51107754    336    0.70795     36
-4642.66569932    316    0.56255     32
-4642.63417390    320    0.59574     32
-4642.63544729    328    0.57750     28
-4642.59792296    336    0.63018     32
-4642.68366883    312    0.54326     28
-4642.55817467    336    0.66094     34
-4642.55432598    344    0.67708     32
-4642.54588358    348    0.66010     34
-4642.64438722    320    0.59036     32
-4642.67030377    316    0.55436     30
-4642.62712418    324    0.61394     32
-4642.59145420    336    0.60975     32
-4642.62268640    320    0.61867     32
-4642.65213957    320    0.57548     32
-4642.63712304    324    0.58685     28
-4642.59695913    336    0.62782     32
-4642.62189344    328    0.58229     30
-4642.65900631    320    0.55720     28
-4642.62925949    324    0.60521     32
-4642.55890791    340    0.62572     34
-4642.61015355    324    0.63727     32
-4642.64945423    320    0.59208     32
-4642.60007506    336    0.61014     30
-4642.63712759    320    0.58726     34
-4642.65157762    320    0.56819     28
-4642.57997444    340    0.64666     32
-4642.62958063    328    0.58612     30
-4642.58590654    332    0.62682     34
-4642.58852623    324    0.62852     34
-4642.61770171    320    0.63821     32
-4642.65429558    320    0.56451     30
-4642.67258191    316    0.55987     30
-4642.63136152    320    0.57918     32
-4642.61977222    328    0.61055     32
-4642.59349508    328    0.65155     34
-4642.61237760    324    0.62252     34
-4642.61732675    320    0.59081     36
-4642.58726011    324    0.61902     34
-4642.64223104    320    0.60516     32
-4642.62363834    328    0.61832     30
-4642.63715292    324    0.60140     32
-4642.58858576    336    0.62969     32
-4642.59979347    332    0.59921     32
-4642.65004183    320    0.59597     30
-4642.62676505    328    0.61565     30
-4642.58075606    336    0.66234     29
-4642.63703426    324    0.58197     30
-4642.62804004    328    0.60957     30
-4642.56986959    332    0.65470     34
-4642.67011913    320    0.56948     30
-4642.57312144    328    0.64733     34
-4642.65607983    316    0.54856     32
-4642.62380485    328    0.62168     30
-4642.65731300    324    0.59147     30
-4642.57562205    336    0.62990     34
-4642.53341273    332    0.67410     38
-4642.61402863    320    0.61863     32
-4642.54588358    348    0.66010     34
-4642.56070425    340    0.67336     34
-4642.66461293    316    0.56736     30
-4642.58505480    336    0.61875     34
-4642.65575057    316    0.57515     30
-4642.57693749    324    0.65133     34
-4642.63866816    328    0.61870     30
-4642.56110266    336    0.66148     34
-4642.61650017    324    0.60662     32
-4642.61032701    328    0.60604     32
-4642.63676236    324    0.59074     30
-4642.52344750    348    0.70563     34
-4642.65481544    324    0.56225     30
-4642.68526963    312    0.53498     28
-4642.61481307    328    0.61989     32
-4642.67573575    316    0.53369     28
-4642.58645750    332    0.65714     30
-4642.64436266    320    0.59209     28
-4642.63365563    320    0.60270     32
-4642.65977764    320    0.55814     28
-4642.68664320    312    0.53056     30
-4642.61708330    328    0.62473     29
-4642.59992124    320    0.62444     32
-4642.62763200    324    0.60471     34
-4642.59381472    324    0.59683     30
-4642.66094517    320    0.52950     28
-4642.65269194    324    0.56335     30
-4642.59702203    332    0.61803     32
-4642.63644724    324    0.59341     30
-4642.59620412    324    0.57848     33
-4642.55316884    344    0.65460     34
-4642.62227994    328    0.62046     30
-4642.58775111    332    0.62566     32
-4642.58953985    332    0.62755     34
-4642.67146854    316    0.55856     30
-4642.64124889    324    0.61053     30
-4642.59015705    336    0.62395     32
-4642.61084089    332    0.61059     32
-4642.58508668    336    0.61871     34
-4642.64721399    324    0.57293     30
-4642.65259623    320    0.57730     32
-4642.55124723    344    0.65626     34
-4642.58330512    328    0.64378     32
-4642.58323599    332    0.63123     34
-4642.62439912    328    0.61263     32
-4642.58494304    324    0.63402     34
-4642.65607983    316    0.54856     32
-4642.57325671    336    0.65377     34
-4642.61969188    324    0.62399     32
-4642.63404285    320    0.59859     32
-4642.62329517    324    0.61657     32
-4642.63175615    320    0.60709     32
-4642.62866034    324    0.62080     32
-4642.55432598    344    0.67709     32
-4642.66002230    320    0.56217     30
-4642.66481683    316    0.55240     30
-4642.60179569    332    0.61436     32
-4642.62488520    320    0.57794     32
-4642.61964580    332    0.57497     28
-4642.61425812    328    0.59064     31
-4642.61975992    328    0.59039     32
-4642.65636627    316    0.55436     30
-4642.61097256    324    0.62738     34
-4642.61457002    332    0.58751     30
-4642.62422234    328    0.60382     32
-4642.65732383    316    0.56432     28
-4642.63229708    324    0.59336     32
-4642.57027991    340    0.66880     33
-4642.62476661    328    0.59779     32
-4642.62323260    324    0.56230     34
-4642.55644739    348    0.65206     31
-4642.62792222    324    0.61047     34
-4642.53447835    352    0.68891     34
-4642.65421716    320    0.56242     31
-4642.58225746    336    0.63215     34
-4642.59020907    336    0.63284     32
-4642.63537641    324    0.57072     30
-4642.64590772    324    0.55476     30
-4642.61527037    332    0.57644     28
-4642.59383899    336    0.62990     31
-4642.63886230    324    0.56859     30
-4642.54702357    344    0.68179     34
-4642.64007844    324    0.57036     30
-4642.65625857    324    0.56428     30
-4642.59128266    336    0.61876     33
-4642.58666396    336    0.67586     29
-4642.57233297    344    0.64337     32
-4642.68301954    312    0.52418     28
-4642.63612554    320    0.56207     32
-4642.60572724    328    0.62516     34
-4642.56925691    340    0.65253     34
-4642.54702353    344    0.68179     34
-4642.67344975    320    0.56534     28
-4642.61871730    332    0.60526     30
-4642.62470524    328    0.60444     32
-4642.57376955    340    0.64040     34
-4642.61017323    320    0.62911     34
-4642.56140395    344    0.64612     34
-4642.65387358    312    0.54188     33
-4642.59356159    340    0.62021     30
-4642.58363583    336    0.63540     34
-4642.61846174    328    0.60768     32
-4642.61066274    328    0.62478     30
-4642.58184117    328    0.64297     34
-4642.59749395    332    0.64896     33
-4642.62404863    328    0.58179     30
-4642.67378746    316    0.54315     30
-4642.59195074    336    0.60490     32
-4642.61960474    324    0.60487     31
-4642.62848584    332    0.57833     32
-4642.64729875    324    0.58083     30
-4642.55172354    332    0.71458     36
-4642.66324977    320    0.56216     30
-4642.63929120    320    0.58273     30
-4642.58490980    332    0.65123     34
-4642.59798474    332    0.60235     32
-4642.59344499    336    0.61546     32
-4642.59148333    320    0.64989     34
-4642.66192103    312    0.51935     32
-4642.61858866    328    0.62462     30
-4642.57749145    340    0.62235     32
-4642.60843602    328    0.60017     32
-4642.62113565    324    0.62810     33
-4642.58077132    344    0.61926     32
-4642.64346266    324    0.58364     30
-4642.60289939    336    0.62797     32
-4642.60492731    328    0.64273     32
-4642.63265721    328    0.59785     32
-4642.59816839    336    0.62215     32
-4642.64529075    320    0.57586     31
-4642.63677928    324    0.58800     28
-4642.84481564    288    0.11575     32

