 E_dft (eV)     c        bv       ang
 2.84977863    328    0.57782     28
 3.11155475    328    0.59434     32
 3.42049772    332    0.65032     32
 2.86765338    320    0.58117     30
 3.69658743    328    0.64733     34
 4.26837756    344    0.69033     34
 3.65511333    332    0.62994     34
 2.92346856    324    0.58467     32
 3.82786413    332    0.65597     32
 3.11092820    328    0.58684     32
 3.94677653    336    0.68926     33
 4.54073809    336    0.70795     36
 2.43700164    316    0.56255     32
 2.86592682    320    0.59574     32
 2.84860147    328    0.57750     28
 3.35914597    336    0.63018     32
 2.19251400    312    0.54326     28
 3.89994900    336    0.66094     34
 3.95231309    344    0.67708     32
 4.06717780    348    0.66010     34
 2.72696752    320    0.59036     32
 2.37435490    316    0.55436     30
 2.96184314    324    0.61394     32
 3.44715794    336    0.60975     32
 3.02222222    320    0.61867     32
 2.62149143    320    0.57548     32
 2.82580173    324    0.58685     28
 3.37225955    336    0.62782     32
 3.03301099    328    0.58229     30
 2.52806468    320    0.55720     28
 2.93279077    324    0.60521     32
 3.88997276    340    0.62572     34
 3.19274032    324    0.63727     32
 2.65802734    320    0.59208     32
 3.32986516    336    0.61014     30
 2.82573982    320    0.58726     34
 2.62913715    320    0.56819     28
 3.60334802    340    0.64666     32
 2.92842144    328    0.58612     30
 3.52263769    332    0.62682     34
 3.48699500    324    0.62852     34
 3.09004238    320    0.63821     32
 2.59215742    320    0.56451     30
 2.34335923    316    0.55987     30
 2.90419120    320    0.57918     32
 3.06187165    328    0.61055     32
 3.41939035    328    0.65155     34
 3.16248058    324    0.62252     34
 3.09514397    320    0.59081     36
 3.50422144    324    0.61902     34
 2.75630385    320    0.60516     32
 3.00927041    328    0.61832     30
 2.82539519    324    0.60140     32
 3.48618505    336    0.62969     32
 3.33369639    332    0.59921     32
 2.65003264    320    0.59597     30
 2.96672936    328    0.61565     30
 3.59271354    336    0.66234     29
 2.82700964    324    0.58197     30
 2.94938223    328    0.60957     30
 3.74083151    332    0.65470     34
 2.37686706    320    0.56948     30
 3.69658784    328    0.64733     34
 2.56788146    316    0.54856     32
 3.00700493    328    0.62168     30
 2.55110333    324    0.59147     30
 3.66256531    336    0.62990     34
 4.23685235    332    0.67410     38
 3.14001717    320    0.61863     32
 4.06717780    348    0.66010     34
 3.86553231    340    0.67336     34
 2.45178273    316    0.56736     30
 3.53422621    336    0.61875     34
 2.57236127    316    0.57515     30
 3.64466783    324    0.65133     34
 2.80477930    328    0.61870     30
 3.86011167    336    0.66148     34
 3.10639016    324    0.60662     32
 3.19038028    328    0.60604     32
 2.83070903    324    0.59074     30
 4.37243621    348    0.70563     34
 2.58508437    324    0.56225     30
 2.17073401    312    0.53498     28
 3.12934433    328    0.61989     32
 2.30044905    316    0.53369     28
 3.51514150    332    0.65714     30
 2.72730168    320    0.59209     28
 2.87297824    320    0.60270     32
 2.51757020    320    0.55814     28
 2.15204564    312    0.53056     30
 3.09845627    328    0.62473     29
 3.33195799    320    0.62444     32
 2.95493390    324    0.60471     34
 3.41504143    324    0.59683     30
 2.50168514    320    0.52950     28
 2.61397605    324    0.56335     30
 3.37140375    332    0.61803     32
 2.83499645    324    0.59341     30
 3.38253198    324    0.57848     33
 3.96805679    344    0.65460     34
 3.02775239    328    0.62046     30
 3.49754104    332    0.62566     32
 3.47320399    332    0.62755     34
 2.35850740    316    0.55856     30
 2.76966668    324    0.61053     30
 3.46480656    336    0.62395     32
 3.18338859    332    0.61059     32
 3.53379246    336    0.61871     34
 2.68850736    324    0.57293     30
 2.61527825    320    0.57730     32
 3.99420162    344    0.65626     34
 3.55803182    328    0.64378     32
 3.55897238    332    0.63123     34
 2.99891947    328    0.61263     32
 3.53574678    324    0.63402     34
 2.56788146    316    0.54856     32
 3.69474740    336    0.65377     34
 3.06296473    324    0.62399     32
 2.86770984    320    0.59859     32
 3.01393948    324    0.61657     32
 2.89882198    320    0.60709     32
 2.94094262    324    0.62080     32
 3.95231309    344    0.67709     32
 2.51424143    320    0.56217     30
 2.44900852    316    0.55240     30
