,dft,c,bv,ang
original_1.vasp,-4642.63536077,328,0.57782,28
original_2.vasp,-4642.61612058,328,0.59434,32
original_3.vasp,-4642.59341369,332,0.65032,32
original_4.vasp,-4642.634047,320,0.58117,30
original_5.vasp,-4642.57312147,328,0.64733,34
original_6.vasp,-4642.53109567,344,0.69033,34
original_7.vasp,-4642.57616976,332,0.62994,34
original_8.vasp,-4642.62994466,324,0.58467,32
original_9.vasp,-4642.56347281,332,0.65597,32
original_10.vasp,-4642.61616663,328,0.58684,32
original_11.vasp,-4642.55473291,336,0.68926,33
original_12.vasp,-4642.51107754,336,0.70795,36
original_13.vasp,-4642.66569932,316,0.56255,32
original_14.vasp,-4642.6341739,320,0.59574,32
original_15.vasp,-4642.63544729,328,0.5775,28
original_16.vasp,-4642.59792296,336,0.63018,32
original_17.vasp,-4642.68366883,312,0.54326,28
original_18.vasp,-4642.55817467,336,0.66094,34
original_19.vasp,-4642.55432598,344,0.67708,32
original_20.vasp,-4642.54588358,348,0.6601,34
original_21.vasp,-4642.64438722,320,0.59036,32
original_22.vasp,-4642.67030377,316,0.55436,30
original_23.vasp,-4642.62712418,324,0.61394,32
original_24.vasp,-4642.5914542,336,0.60975,32
original_25.vasp,-4642.6226864,320,0.61867,32
original_26.vasp,-4642.65213957,320,0.57548,32
original_27.vasp,-4642.63712304,324,0.58685,28
original_28.vasp,-4642.59695913,336,0.62782,32
original_29.vasp,-4642.62189344,328,0.58229,30
original_30.vasp,-4642.65900631,320,0.5572,28
original_31.vasp,-4642.62925949,324,0.60521,32
original_32.vasp,-4642.55890791,340,0.62572,34
original_33.vasp,-4642.61015355,324,0.63727,32
original_34.vasp,-4642.64945423,320,0.59208,32
original_35.vasp,-4642.60007506,336,0.61014,30
original_36.vasp,-4642.63712759,320,0.58726,34
original_37.vasp,-4642.65157762,320,0.56819,28
original_38.vasp,-4642.57997444,340,0.64666,32
original_39.vasp,-4642.62958063,328,0.58612,30
original_40.vasp,-4642.58590654,332,0.62682,34
original_41.vasp,-4642.58852623,324,0.62852,34
original_42.vasp,-4642.61770171,320,0.63821,32
original_43.vasp,-4642.65429558,320,0.56451,30
original_44.vasp,-4642.67258191,316,0.55987,30
original_45.vasp,-4642.63136152,320,0.57918,32
original_46.vasp,-4642.61977222,328,0.61055,32
original_47.vasp,-4642.59349508,328,0.65155,34
original_48.vasp,-4642.6123776,324,0.62252,34
original_49.vasp,-4642.61732675,320,0.59081,36
original_50.vasp,-4642.58726011,324,0.61902,34
original_51.vasp,-4642.64223104,320,0.60516,32
original_52.vasp,-4642.62363834,328,0.61832,30
original_53.vasp,-4642.63715292,324,0.6014,32
original_54.vasp,-4642.58858576,336,0.62969,32
original_55.vasp,-4642.59979347,332,0.59921,32
original_56.vasp,-4642.65004183,320,0.59597,30
original_57.vasp,-4642.62676505,328,0.61565,30
original_58.vasp,-4642.58075606,336,0.66234,29
original_59.vasp,-4642.63703426,324,0.58197,30
original_60.vasp,-4642.62804004,328,0.60957,30
original_61.vasp,-4642.56986959,332,0.6547,34
original_62.vasp,-4642.67011913,320,0.56948,30
original_63.vasp,-4642.57312144,328,0.64733,34
original_64.vasp,-4642.65607983,316,0.54856,32
original_65.vasp,-4642.62380485,328,0.62168,30
original_66.vasp,-4642.657313,324,0.59147,30
original_67.vasp,-4642.57562205,336,0.6299,34
original_68.vasp,-4642.53341273,332,0.6741,38
original_69.vasp,-4642.61402863,320,0.61863,32
original_70.vasp,-4642.54588358,348,0.6601,34
original_71.vasp,-4642.56070425,340,0.67336,34
original_72.vasp,-4642.66461293,316,0.56736,30
original_73.vasp,-4642.5850548,336,0.61875,34
original_74.vasp,-4642.65575057,316,0.57515,30
original_75.vasp,-4642.57693749,324,0.65133,34
original_76.vasp,-4642.63866816,328,0.6187,30
original_77.vasp,-4642.56110266,336,0.66148,34
original_78.vasp,-4642.61650017,324,0.60662,32
original_79.vasp,-4642.61032701,328,0.60604,32
original_80.vasp,-4642.63676236,324,0.59074,30
original_81.vasp,-4642.5234475,348,0.70563,34
original_82.vasp,-4642.65481544,324,0.56225,30
original_83.vasp,-4642.68526963,312,0.53498,28
original_84.vasp,-4642.61481307,328,0.61989,32
